Encuesta de Población Activa
Población en viviendas familiares (incluye parados)
Distribución porcentual de los activos según estén ocupados o no por sexo y provincia
Unidades:   Porcentaje

;Ambos sexos;;
;Nacional;37 Salamanca;
Parados;
    2016T4;18.6;16.2;
    2016T3;18.9;15.3;
    2016T2;20.0;17.3;
    2016T1;21.0;17.1;
    2015T4;20.9;15.8;
    2015T3;21.2;13.6;
    2015T2;22.4;16.2;
    2015T1;23.8;18.3;
    2014T4;23.7;21.3;
    2014T3;23.7;18.7;
    2014T2;24.5;20.6;
    2014T1;25.9;23.8;
    2013T4;25.7;23.0;
    2013T3;25.7;21.7;
    2013T2;26.1;21.0;
    2013T1;26.9;22.4;
    2012T4;25.8;21.4;
    2012T3;24.8;18.8;
    2012T2;24.4;19.3;
    2012T1;24.2;19.6;
    2011T4;22.6;17.2;
    2011T3;21.3;16.2;
    2011T2;20.6;17.1;
    2011T1;21.1;16.5;
    2010T4;20.1;15.8;
    2010T3;19.6;16.1;
    2010T2;19.9;16.2;
    2010T1;19.8;16.1;
    2009T4;18.7;13.7;
    2009T3;17.8;14.7;
    2009T2;17.8;16.3;
    2009T1;17.2;17.9;
    2008T4;13.8;16.6;
    2008T3;11.2;12.1;
    2008T2;10.4;9.5;
    2008T1;9.6;7.8;
    2007T4;8.6;7.3;
    2007T3;8.0;7.8;
    2007T2;7.9;10.0;
    2007T1;8.4;9.2;
    2006T4;8.3;10.4;
    2006T3;8.1;9.7;
    2006T2;8.4;9.0;
    2006T1;9.0;11.1;
    2005T4;8.7;11.9;
    2005T3;8.4;7.2;
    2005T2;9.3;8.3;
    2005T1;10.2;10.2;
Notas:
Los resultados de Ceuta y Melilla deben tomarse con precaución porque pueden estar afectados por grandes errores de muestreo.
Relación con la actividad económica: Activos respecto de la población de 16 y más años que habita en viviendas familiares  (tasa de actividad).
Relación con la actividad económica: Parados respecto del total de activos (tasa de paro).
Fuente: Instituto Nacional de Estadística
